date;Year;Variable;Value;Population;Rate
2014-01-01;2014;Breast;342;4749603;7.20060181872043
2014-01-01;2014;Others;1107;4749603;23.3072111500688
2014-01-01;2014;Lung;118;4749603;2.48441817137138
2014-01-01;2014;Prostate;279;4749603;5.87417516790351
2014-01-01;2014;Colorrectal;343;4749603;7.22165621000324
2014-01-01;2014;Skin (nonmelanoma);850;4749603;17.896232590387
2014-01-01;2014;Skin (melanoma);90;4749603;1.89489521545274
2014-02-01;2014;Others;1187;4751617;24.9809696362312
2014-02-01;2014;Prostate;273;4751617;5.74541256166059
2014-02-01;2014;Colorrectal;328;4751617;6.90291326089624
2014-02-01;2014;Breast;395;4751617;8.31295956723785
2014-02-01;2014;Lung;140;4751617;2.9463654162362
2014-02-01;2014;Skin (nonmelanoma);834;4751617;17.5519196938642
2014-02-01;2014;Skin (melanoma);91;4751617;1.91513752055353
2014-03-01;2014;Prostate;272;4753319;5.72231739548724
2014-03-01;2014;Colorrectal;362;4753319;7.61573123958228
2014-03-01;2014;Others;1202;4753319;25.2875937844693
2014-03-01;2014;Lung;146;4753319;3.07153801375418
2014-03-01;2014;Breast;384;4753319;8.07856573480551
2014-03-01;2014;Skin (nonmelanoma);836;4753319;17.5877108184828
2014-03-01;2014;Skin (melanoma);86;4753319;1.80926211769082
2014-04-01;2014;Colorrectal;333;4755104;7.00300140648869
2014-04-01;2014;Prostate;265;4755104;5.57295907723575
2014-04-01;2014;Others;1106;4755104;23.2592178846141
2014-04-01;2014;Breast;324;4755104;6.81373109820521
2014-04-01;2014;Lung;120;4755104;2.52360411044638
2014-04-01;2014;Skin (nonmelanoma);776;4755104;16.3193065808866
2014-04-01;2014;Skin (melanoma);92;4755104;1.93476315134222
2014-05-01;2014;Others;1253;4756255;26.3442561427005
2014-05-01;2014;Colorrectal;355;4756255;7.46385549134771
2014-05-01;2014;Breast;351;4756255;7.37975571116351
2014-05-01;2014;Prostate;267;4756255;5.61366032729532
2014-05-01;2014;Lung;122;4756255;2.56504329561809
2014-05-01;2014;Skin (nonmelanoma);908;4756255;19.0906501018133
2014-05-01;2014;Skin (melanoma);94;4756255;1.97634483432869
2014-06-01;2014;Others;1182;4759379;24.8351728240176
2014-06-01;2014;Breast;351;4759379;7.37491172692908
2014-06-01;2014;Prostate;224;4759379;4.70649637274107
2014-06-01;2014;Colorrectal;337;4759379;7.08075570363276
2014-06-01;2014;Lung;135;4759379;2.83650451035734
2014-06-01;2014;Skin (nonmelanoma);842;4759379;17.6913836868213
2014-06-01;2014;Skin (melanoma);100;4759379;2.10111445211655
2014-07-01;2014;Colorrectal;383;4725430;8.10508250042853
2014-07-01;2014;Others;1415;4725430;29.9443648514527
2014-07-01;2014;Prostate;311;4725430;6.58141163872917
2014-07-01;2014;Lung;147;4725430;3.11082800930286
2014-07-01;2014;Breast;419;4725430;8.86691793127821
2014-07-01;2014;Skin (nonmelanoma);985;4725430;20.8446638718593
2014-07-01;2014;Skin (melanoma);122;4725430;2.58177562676836
2014-08-01;2014;Others;853;4736177;18.0103066249424
2014-08-01;2014;Breast;257;4736177;5.42631747082088
2014-08-01;2014;Colorrectal;263;4736177;5.55300192539257
2014-08-01;2014;Lung;125;4736177;2.63925947024362
2014-08-01;2014;Prostate;151;4736177;3.18822544005429
2014-08-01;2014;Skin (nonmelanoma);511;4736177;10.7892927143559
2014-08-01;2014;Skin (melanoma);60;4736177;1.26684454571694
2014-09-01;2014;Others;1152;4740922;24.2990709402095
2014-09-01;2014;Prostate;208;4740922;4.38733225309339
2014-09-01;2014;Colorrectal;316;4740922;6.66537015373803
2014-09-01;2014;Breast;295;4740922;6.22241833972379
2014-09-01;2014;Lung;147;4740922;3.10066269809965
2014-09-01;2014;Skin (nonmelanoma);873;4740922;18.4141396968775
2014-09-01;2014;Skin (melanoma);72;4740922;1.5186919337631
2014-10-01;2014;Others;1478;4742704;31.1636568506067
2014-10-01;2014;Breast;362;4742704;7.6327765764003
2014-10-01;2014;Prostate;270;4742704;5.69295490504995
2014-10-01;2014;Lung;185;4742704;3.90072836086756
2014-10-01;2014;Colorrectal;420;4742704;8.85570763007769
2014-10-01;2014;Skin (nonmelanoma);1164;4742704;24.5429611462153
2014-10-01;2014;Skin (melanoma);109;4742704;2.29826698018683
2014-11-01;2014;Lung;185;4744669;3.89911287805324
2014-11-01;2014;Prostate;223;4744669;4.70001173949121
2014-11-01;2014;Breast;332;4744669;6.99732689466852
2014-11-01;2014;Others;1309;4744669;27.5888581479551
2014-11-01;2014;Colorrectal;403;4744669;8.49374318840787
2014-11-01;2014;Skin (nonmelanoma);1030;4744669;21.7085744021343
2014-11-01;2014;Skin (melanoma);82;4744669;1.72825543783982
2014-12-01;2014;Others;1212;4723532;25.6587655169903
2014-12-01;2014;Colorrectal;318;4723532;6.73225035841823
2014-12-01;2014;Prostate;219;4723532;4.6363610958918
2014-12-01;2014;Lung;156;4723532;3.30261338337498
2014-12-01;2014;Breast;292;4723532;6.1818147945224
2014-12-01;2014;Skin (nonmelanoma);800;4723532;16.9364788891025
2014-12-01;2014;Skin (melanoma);92;4723532;1.94769507224678
2015-01-01;2015;Prostate;210;4723026;4.44630201061777
2015-01-01;2015;Others;1302;4723026;27.5670724658302
2015-01-01;2015;Colorrectal;329;4723026;6.96587314996784
2015-01-01;2015;Breast;307;4723026;6.50007008218883
2015-01-01;2015;Lung;200;4723026;4.23457334344549
2015-01-01;2015;Skin (nonmelanoma);857;4723026;18.1451467766639
2015-01-01;2015;Skin (melanoma);81;4723026;1.71500220409543
2015-02-01;2015;Lung;190;4725947;4.02035824777553
2015-02-01;2015;Breast;329;4725947;6.96156770272709
2015-02-01;2015;Others;1366;4725947;28.9042598234809
2015-02-01;2015;Colorrectal;363;4725947;7.6810002312764
2015-02-01;2015;Prostate;227;4725947;4.80327011707918
2015-02-01;2015;Skin (melanoma);84;4725947;1.77742154112181
2015-02-01;2015;Skin (nonmelanoma);796;4725947;16.8431850801543
2015-03-01;2015;Others;1677;4731212;35.4454630230055
2015-03-01;2015;Prostate;298;4731212;6.2985974841119
2015-03-01;2015;Colorrectal;359;4731212;7.5879077073697
2015-03-01;2015;Lung;244;4731212;5.15724089303121
2015-03-01;2015;Breast;353;4731212;7.46109030836073
2015-03-01;2015;Skin (nonmelanoma);957;4731212;20.2273751419298
2015-03-01;2015;Skin (melanoma);105;4731212;2.21930448265688
2015-04-01;2015;Colorrectal;312;4737329;6.58598970010316
2015-04-01;2015;Prostate;225;4737329;4.74951180295901
2015-04-01;2015;Others;1418;4737329;29.932478829315
2015-04-01;2015;Breast;299;4737329;6.31157346259886
2015-04-01;2015;Lung;203;4737329;4.28511509333635
2015-04-01;2015;Skin (melanoma);87;4737329;1.83647789714415
2015-04-01;2015;Skin (nonmelanoma);847;4737329;17.8792733204724
2015-05-01;2015;Others;1448;4742544;30.5321363386402
2015-05-01;2015;Prostate;173;4742544;3.64783120620494
2015-05-01;2015;Colorrectal;313;4742544;6.59983333839391
2015-05-01;2015;Breast;323;4742544;6.81069063355026
2015-05-01;2015;Lung;201;4742544;4.23823163264273
2015-05-01;2015;Skin (nonmelanoma);920;4742544;19.3988711543847
2015-05-01;2015;Skin (melanoma);80;4742544;1.68685836125084
2015-06-01;2015;Others;1564;4741416;32.9859265670846
2015-06-01;2015;Prostate;238;4741416;5.01959752107809
2015-06-01;2015;Colorrectal;401;4741416;8.45738910063998
2015-06-01;2015;Breast;337;4741416;7.10758136387948
2015-06-01;2015;Lung;225;4741416;4.74541782454862
2015-06-01;2015;Skin (melanoma);90;4741416;1.89816712981945
2015-06-01;2015;Skin (nonmelanoma);917;4741416;19.3402139782715
2015-07-01;2015;Lung;234;4717013;4.96076648506163
2015-07-01;2015;Others;1553;4717013;32.9233775696611
2015-07-01;2015;Breast;330;4717013;6.99595273534332
2015-07-01;2015;Prostate;226;4717013;4.79116763087149
2015-07-01;2015;Colorrectal;347;4717013;7.35635030049737
2015-07-01;2015;Skin (nonmelanoma);1002;4717013;21.2422564873152
2015-07-01;2015;Skin (melanoma);98;4717013;2.07758596382923
2015-08-01;2015;Others;1001;4720916;21.2035121997511
2015-08-01;2015;Colorrectal;238;4720916;5.04139450903172
2015-08-01;2015;Lung;147;4720916;3.11380249087253
2015-08-01;2015;Prostate;115;4720916;2.43596793503634
2015-08-01;2015;Breast;208;4720916;4.40592461293529
2015-08-01;2015;Skin (nonmelanoma);599;4720916;12.6882155920588
2015-08-01;2015;Skin (melanoma);67;4720916;1.41921610128204
2015-09-01;2015;Colorrectal;343;4727429;7.25552937971147
2015-09-01;2015;Others;1422;4727429;30.0797748628271
2015-09-01;2015;Prostate;240;4727429;5.07675525111007
2015-09-01;2015;Breast;279;4727429;5.90172797941545
2015-09-01;2015;Lung;221;4727429;4.67484546039719
2015-09-01;2015;Skin (nonmelanoma);929;4727429;19.6512734511719
2015-09-01;2015;Skin (melanoma);77;4727429;1.62879230973115
2015-10-01;2015;Others;1457;4730502;30.8001138145592
2015-10-01;2015;Colorrectal;372;4730502;7.86385884627044
2015-10-01;2015;Breast;259;4730502;5.47510602468829
2015-10-01;2015;Lung;197;4730502;4.16446288364322
2015-10-01;2015;Prostate;197;4730502;4.16446288364322
2015-10-01;2015;Skin (nonmelanoma);1124;4730502;23.7606917828171
2015-10-01;2015;Skin (melanoma);110;4730502;2.32533460507997
2015-11-01;2015;Colorrectal;312;4713973;6.61862085336509
2015-11-01;2015;Others;1363;4713973;28.9140391767199
2015-11-01;2015;Lung;190;4713973;4.03057039147233
2015-11-01;2015;Breast;313;4713973;6.63983438174126
2015-11-01;2015;Prostate;198;4713973;4.20027861848169
2015-11-01;2015;Skin (nonmelanoma);1085;4713973;23.0166782881446
2015-11-01;2015;Skin (melanoma);89;4713973;1.88800402547914
2015-12-01;2015;Colorrectal;337;4720228;7.13948563501594
2015-12-01;2015;Lung;191;4720228;4.04641470708618
2015-12-01;2015;Prostate;231;4720228;4.89383139966968
2015-12-01;2015;Others;1459;4720228;30.9095238619829
2015-12-01;2015;Breast;306;4720228;6.48273769826373
2015-12-01;2015;Skin (nonmelanoma);804;4720228;17.0330755209282
2015-12-01;2015;Skin (melanoma);88;4720228;1.86431672368369
2016-01-01;2016;Others;1297;4725914;27.4444266230829
2016-01-01;2016;Breast;296;4725914;6.26333868961644
2016-01-01;2016;Colorrectal;341;4725914;7.21553544986219
2016-01-01;2016;Prostate;209;4725914;4.42242495314134
2016-01-01;2016;Lung;216;4725914;4.57054444917957
2016-01-01;2016;Skin (nonmelanoma);747;4725914;15.8064662200793
2016-01-01;2016;Skin (melanoma);84;4725914;1.77743395245872
2016-02-01;2016;Colorrectal;356;4729496;7.52722911701374
2016-02-01;2016;Others;1547;4729496;32.7096164157872
2016-02-01;2016;Prostate;234;4729496;4.94767307129555
2016-02-01;2016;Breast;342;4729496;7.23121448881657
2016-02-01;2016;Lung;232;4729496;4.90538526726738
2016-02-01;2016;Skin (nonmelanoma);1037;4729496;21.9262263886046
2016-02-01;2016;Skin (melanoma);108;4729496;2.28354141752102
2016-03-01;2016;Colorrectal;339;4734779;7.15978507127788
2016-03-01;2016;Others;1417;4734779;29.9274791917426
2016-03-01;2016;Prostate;212;4734779;4.47750570829177
2016-03-01;2016;Breast;295;4734779;6.23049143370789
2016-03-01;2016;Lung;221;4734779;4.66758849779472
2016-03-01;2016;Skin (nonmelanoma);927;4734779;19.5785273188041
2016-03-01;2016;Skin (melanoma);76;4734779;1.60514355580271
2016-04-01;2016;Colorrectal;337;4738459;7.11201679702199
2016-04-01;2016;Others;1434;4738459;30.2630032253102
2016-04-01;2016;Lung;208;4738459;4.38961274118864
2016-04-01;2016;Prostate;253;4738459;5.33928857461888
2016-04-01;2016;Breast;312;4738459;6.58441911178297
2016-04-01;2016;Skin (nonmelanoma);946;4738459;19.9642964094445
2016-04-01;2016;Skin (melanoma);105;4738459;2.21591027800388
2016-05-01;2016;Prostate;273;4745013;5.75340889477015
2016-05-01;2016;Others;1593;4745013;33.5720892650874
2016-05-01;2016;Lung;220;4745013;4.6364467283862
2016-05-01;2016;Breast;325;4745013;6.8492963032978
2016-05-01;2016;Colorrectal;379;4745013;7.98733322753805
2016-05-01;2016;Skin (nonmelanoma);1023;4745013;21.5594772869958
2016-05-01;2016;Skin (melanoma);78;4745013;1.64383111279147
2016-06-01;2016;Others;1437;4716574;30.4670296702649
2016-06-01;2016;Breast;324;4716574;6.86939291104094
2016-06-01;2016;Colorrectal;367;4716574;7.78107159985193
2016-06-01;2016;Prostate;240;4716574;5.08843919336366
2016-06-01;2016;Lung;215;4716574;4.55839344405494
2016-06-01;2016;Skin (nonmelanoma);1022;4716574;21.6682702317402
2016-06-01;2016;Skin (melanoma);75;4716574;1.59013724792614
2016-07-01;2016;Others;1382;4721493;29.2704023917858
2016-07-01;2016;Colorrectal;332;4721493;7.03167409122496
2016-07-01;2016;Lung;222;4721493;4.70190255497573
2016-07-01;2016;Breast;327;4721493;6.92577538503181
2016-07-01;2016;Prostate;210;4721493;4.44774566011217
2016-07-01;2016;Skin (nonmelanoma);860;4721493;18.2145774652213
2016-07-01;2016;Skin (melanoma);109;4721493;2.3085917950106
2016-08-01;2016;Others;1164;4728135;24.618586398231
2016-08-01;2016;Colorrectal;328;4728135;6.93719616719912
2016-08-01;2016;Lung;211;4728135;4.46264753438724
2016-08-01;2016;Breast;242;4728135;5.11829717214081
2016-08-01;2016;Prostate;155;4728135;3.27824818876788
2016-08-01;2016;Skin (nonmelanoma);631;4728135;13.3456426265325
2016-08-01;2016;Skin (melanoma);67;4728135;1.41704921708031
2016-09-01;2016;Others;1439;4734042;30.3968574845766
2016-09-01;2016;Prostate;208;4734042;4.39370837859064
2016-09-01;2016;Lung;213;4734042;4.49932636846061
2016-09-01;2016;Colorrectal;350;4734042;7.39325929089771
2016-09-01;2016;Breast;266;4734042;5.61887706108226
2016-09-01;2016;Skin (nonmelanoma);1011;4734042;21.3559575517074
